PublicationID,Title,PublicationType,Publisher,Year,OriginalPublicationFormat,OwnershipStatus,Notes
PUB-BAT-SCOTTISH-CONNECTION,Batman: Scottish Connection,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-CHALICE,Batman: The Chalice,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-LONELY-PLACE-DYING,Batman: A Lonely Place of Dying,Trade Paperback,DC Comics,,Collected Edition,Yes,Collected edition containing Batman #440-442 and New Titans #60-61.
PUB-BAT-JOKER-DEVILS-ADVOCATE,Batman: Joker - Devil's Advocate,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-YEAR-TWO,Batman: Year Two,Trade Paperback,DC Comics,,Collected Edition,Yes,Collected edition containing Detective Comics #575-578.
PUB-SPAWN-BATMAN-0001,Spawn/Batman,Prestige One-Shot,Image Comics,1994,Prestige One-Shot,Yes,Owned user-confirmed Frank Miller/Todd McFarlane crossover; keep distinct from Batman/Spawn: War Devil.
PUB-BAT-SPAWN-WAR-DEVIL,Batman/Spawn: War Devil,Prestige One-Shot,DC Comics,,Prestige One-Shot,Yes,Owned seed; treat as first-published prestige publication unless publication_contents.csv later records contained issues.
PUB-BAT-JUDGE-DREDD-JUDGEMENT-GOTHAM,Batman/Judge Dredd: Judgment on Gotham,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,Owned graphic novel added from user note; contents/edition details to confirm.
PUB-GRIFTER-MIDNIGHTER,Grifter/Midnighter,Collection,WildStorm,,Collected Edition,Yes,Owned graphic novel added from user note typed as "griftwer midnight"; exact title/edition and contents to confirm.
PUB-BATGIRL-YEAR-ONE-HC,Batgirl: Year One,Hardcover,DC Comics,,Collected Edition,Yes,Owned hardback added from user note; contained issues to confirm before counting original issue coverage.
PUB-JOKER-CLOWN-PRINCE-CRIME,The Joker: The Clown Prince of Crime,Collection,DC Comics,,Collected Edition,Yes,Owned graphic novel added from user note; contained issues to confirm before counting original issue coverage.
PUB-BAT-MAN-WHO-LAUGHS,Batman: The Man Who Laughs,Collection,DC Comics,,Collected Edition,Yes,Owned graphic novel added from user note; contained stories/issues to confirm before counting original issue coverage.
PUB-BAT-KILLING-JOKE-DELUXE-HC,Batman: The Killing Joke Deluxe Edition,Hardcover,DC Comics,,Collected Edition,Yes,Owned hardback added from user note; deluxe contents to confirm before counting contained issue coverage.
