focus_id,focus_name,source_file,reading_order,series,issue_number,display_name,role,priority,collecting_status,ownership_status,owned_in_sheet_count,matched_collection_rows,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_url,notes
legacy,Batman: Legacy,story_arc_checklists.csv,001,Catwoman (Vol. 2),33,Catwoman (Vol. 2) #33,prequel,optional,review,owned_in_sheet,1,Batman row 150: Catwoman (Vol.2) #33,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,002,Catwoman (Vol. 2),34,Catwoman (Vol. 2) #34,prequel,optional,review,owned_in_sheet,1,Batman row 151: Catwoman (Vol.2) #34,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,003,Catwoman (Vol. 2),35,Catwoman (Vol. 2) #35,prequel,optional,review,owned_in_sheet,1,Batman row 152: Catwoman (Vol.2) #35,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,004,Batman: Bane of the Demon,1,Batman: Bane of the Demon #1,prequel,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,005,Batman: Bane of the Demon,2,Batman: Bane of the Demon #2,prequel,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,006,Batman: Bane of the Demon,3,Batman: Bane of the Demon #3,prequel,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,007,Batman: Bane of the Demon,4,Batman: Bane of the Demon #4,prequel,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,story_arc_checklists.csv,008,Batman: Shadow of the Bat,53,Batman: Shadow of the Bat #53,prelude,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,story_arc_checklists.csv,009,Batman,533,Batman #533,prelude,required,collect,owned_in_sheet,1,Batman row 158: Batman #533,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,story_arc_checklists.csv,010,Detective Comics,700,Detective Comics #700,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 1.
legacy,Batman: Legacy,story_arc_checklists.csv,011,Catwoman (Vol. 2),36,Catwoman (Vol. 2) #36,core,required,collect,owned_in_sheet,1,Batman row 160: Catwoman (Vol.2) #36,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 2.
legacy,Batman: Legacy,story_arc_checklists.csv,012,Robin (Vol. 2),32,Robin (Vol. 2) #32,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 3.
legacy,Batman: Legacy,story_arc_checklists.csv,013,Batman: Shadow of the Bat,54,Batman: Shadow of the Bat #54,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 4.
legacy,Batman: Legacy,story_arc_checklists.csv,014,Batman,534,Batman #534,core,required,collect,owned_in_sheet,1,Batman row 163: Batman #534,0,0,0,0,Review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 5.
legacy,Batman: Legacy,story_arc_checklists.csv,015,Detective Comics,701,Detective Comics #701,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 6.
legacy,Batman: Legacy,story_arc_checklists.csv,016,Robin (Vol. 2),33,Robin (Vol. 2) #33,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 7.
legacy,Batman: Legacy,story_arc_checklists.csv,017,Detective Comics,702,Detective Comics #702,epilogue,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue.
legacy,Batman: Legacy,story_arc_checklists.csv,018,Batman: Bane,1,Batman: Bane #1,epilogue,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue one-shot.
