story,known_issue_count,original_issues_owned_count,facsimiles_owned_count,collection_coverage_count,individual_copy_owned_count,readable,original_issues_complete,owned_publications,notes
A Death in the Family,4,2,0,0,2,Yes,No,,
A Death In The Family,4,2,0,0,2,Yes,No,,
A Gotham Tale,2,2,0,0,2,Yes,Yes,,
A Lonely Place of Dying,5,1,0,5,1,Yes,No,,"Readable via collection, but original individual issues are not complete."
Absolute Batman,23,4,0,0,4,Yes,No,,
Absolute Catwoman,2,0,0,0,0,No,No,,
Absolute Wonder Woman,1,0,0,0,0,No,No,,
Bane Of The Demon,4,4,0,0,4,Yes,Yes,,
Batman - Wildcat,3,3,0,0,3,Yes,Yes,,
Batman/Judge Dredd: Judgment on Gotham,0,0,0,0,0,Yes,Yes,Batman/Judge Dredd: Judgment on Gotham,Original-format publication; no contained issue checklist recorded.
Batman/Spawn: War Devil,0,0,0,0,0,Yes,Yes,Batman/Spawn: War Devil,Original-format publication; no contained issue checklist recorded.
Batman: Cataclysm,5,0,0,0,0,No,No,,
Batman: Contagion,20,12,0,0,12,Yes,No,,
Batman: Joker - Devil's Advocate,0,0,0,0,0,Yes,Yes,Batman: Joker - Devil's Advocate,Original-format publication; no contained issue checklist recorded.
Batman: Legacy,18,6,0,0,6,Yes,No,,
Batman: No Man's Land,24,0,0,0,0,No,No,,
Batman: Scottish Connection,0,0,0,0,0,Yes,Yes,Batman: Scottish Connection,Original-format publication; no contained issue checklist recorded.
Batman: The Chalice,0,0,0,0,0,Yes,Yes,Batman: The Chalice,Original-format publication; no contained issue checklist recorded.
Batman: Year One,4,0,4,0,4,Yes,No,,
Batman: Year Two,4,0,0,4,0,Yes,No,,"Readable via collection, but original individual issues are not complete."
Blackmask,3,3,0,0,3,Yes,Yes,,
Bloodlines,8,8,0,0,8,Yes,Yes,,
Catwoman,4,4,0,0,4,Yes,Yes,,
Constant Whitewater,1,1,0,0,1,Yes,Yes,,
Contagion,7,7,0,0,7,Yes,Yes,,
Countdown to Final Crisis,67,67,0,0,67,Yes,Yes,,
Countdown to Infinite Crisis,12,12,0,0,12,Yes,Yes,,
Crash And Burn,1,1,0,0,1,Yes,Yes,,
Crimesmith,1,1,0,0,1,Yes,Yes,,
Cry of The Huntress,6,6,0,0,6,Yes,Yes,,
Cult,4,4,0,0,4,Yes,Yes,,
Dark Knight Returns,13,13,0,0,13,Yes,Yes,,
"Dark Knight, Dark City",1,1,0,0,1,Yes,Yes,,
DC All-In,1,0,0,0,0,No,No,,
Dead Letter Office,1,1,0,0,1,Yes,Yes,,
Death-Kiss!,1,1,0,0,1,Yes,Yes,,
Destroyer,1,1,0,0,1,Yes,Yes,,
Doomsday Clock,12,12,0,0,12,Yes,Yes,,
Facsimile,18,0,6,0,6,Yes,No,,
Faith,2,2,0,0,2,Yes,Yes,,
Fatal Wish,1,1,0,0,1,Yes,Yes,,
Favorite Things,1,1,0,0,1,Yes,Yes,,
Flyer,3,3,0,0,3,Yes,Yes,,
Frozen Assets,1,1,0,0,1,Yes,Yes,,
Going Sane,3,3,0,0,3,Yes,Yes,,
Gordon's Law,4,4,0,0,4,Yes,Yes,,
Gotham Nights I,4,4,0,0,4,Yes,Yes,,
Gotham Nights II,4,4,0,0,4,Yes,Yes,,
Gothic,5,5,0,0,5,Yes,Yes,,
Gothtopia,1,1,0,0,1,Yes,Yes,,
Jazz,3,3,0,0,3,Yes,Yes,,
Joker's Wild,4,4,0,0,4,Yes,Yes,,
Killer Croc,2,2,0,0,2,Yes,Yes,,
Knightfall,37,37,0,0,37,Yes,Yes,,
Knightquest,37,37,0,0,37,Yes,Yes,,
Knightsend,33,33,0,0,33,Yes,Yes,,
Legacy,13,6,0,0,6,Yes,No,,
Legend of the Dark Mite,1,1,0,0,1,Yes,Yes,,
Lifelines,4,4,0,0,4,Yes,Yes,,
Long Halloween,11,11,0,0,11,Yes,Yes,,
Long Halloween Family,48,17,0,0,17,Yes,No,,
Man-Bat (70s),2,2,0,0,2,Yes,Yes,,
Mercy,1,1,0,0,1,Yes,Yes,,
Nun Better,1,1,0,0,1,Yes,Yes,,
Pagan,1,1,0,0,1,Yes,Yes,,
Prey,5,5,0,0,5,Yes,Yes,,
Road to No Man's Land,15,0,0,0,0,No,No,,
Robin Reborn,12,12,0,0,12,Yes,Yes,,
Scarecrow,1,1,0,0,1,Yes,Yes,,
Shaman,5,5,0,0,5,Yes,Yes,,
Sleeper,2,2,0,0,2,Yes,Yes,,
Storm,1,1,0,0,1,Yes,Yes,,
Sword of Azrael,4,4,0,0,4,Yes,Yes,,
Terminus,1,1,0,0,1,Yes,Yes,,
The Many Deaths Of...,3,3,0,0,3,Yes,Yes,,
The Mud Pack,4,4,0,0,4,Yes,Yes,,
The Penguin Affair,2,2,0,0,2,Yes,Yes,,
The Set-Up Caper,1,1,0,0,1,Yes,Yes,,
To The Father I Never Knew...,1,1,0,0,1,Yes,Yes,,
Turning Points,5,5,0,0,5,Yes,Yes,,
Two-Face,2,2,0,0,2,Yes,Yes,,
Untold Legend,3,3,0,0,3,Yes,Yes,,
Venom,5,5,0,0,5,Yes,Yes,,
Watchtower,1,1,0,0,1,Yes,Yes,,
When In Rome,6,6,0,0,6,Yes,Yes,,
Year One,9,5,4,0,9,Yes,No,,
Year Three,4,4,0,0,4,Yes,Yes,,
Year Two,5,1,0,0,1,Yes,No,,
Zero Hour,15,13,0,0,13,Yes,No,,
Zeus,2,2,0,0,2,Yes,Yes,,
