story,readable,readable_sources,original_issues_owned_count,facsimiles_owned_count,collection_coverage_count,individual_copy_owned_count,owned_publications,notes
A Death in the Family,Yes,original issues,2,0,0,2,,
A Death In The Family,Yes,original issues,2,0,0,2,,
A local Tale,Yes,original issues,2,0,0,2,,
A Lonely Place of Dying,Yes,original issues; collected edition,1,0,5,1,,"Readable via collection, but original individual issues are not complete."
Absolute Batman,Yes,original issues,4,0,0,4,,
Bane Of The Demon,Yes,original issues,4,0,0,4,,
Batman - Wildcat,Yes,original issues,3,0,0,3,,
Batman/Judge Dredd: Judgment on local,Yes,original-format publication,0,0,0,0,Batman/Judge Dredd: Judgment on local,Original-format publication; no contained issue checklist recorded.
Batman/Spawn: War Devil,Yes,original-format publication,0,0,0,0,Batman/Spawn: War Devil,Original-format publication; no contained issue checklist recorded.
Batman: Contagion,Yes,original issues,12,0,0,12,,
Batman: Joker - Devil's Advocate,Yes,original-format publication,0,0,0,0,Batman: Joker - Devil's Advocate,Original-format publication; no contained issue checklist recorded.
Batman: Legacy,Yes,original issues,6,0,0,6,,
Batman: Scottish Connection,Yes,original-format publication,0,0,0,0,Batman: Scottish Connection,Original-format publication; no contained issue checklist recorded.
Batman: The Chalice,Yes,original-format publication,0,0,0,0,Batman: The Chalice,Original-format publication; no contained issue checklist recorded.
Batman: Year One,Yes,facsimiles,0,4,0,4,,
Batman: Year Two,Yes,collected edition,0,0,4,0,,"Readable via collection, but original individual issues are not complete."
Blackmask,Yes,original issues,3,0,0,3,,
Bloodlines,Yes,original issues,8,0,0,8,,
Catwoman,Yes,original issues,4,0,0,4,,
Constant Whitewater,Yes,original issues,1,0,0,1,,
Contagion,Yes,original issues,7,0,0,7,,
Countdown to Final Crisis,Yes,original issues,67,0,0,67,,
Countdown to Infinite Crisis,Yes,original issues,12,0,0,12,,
Crash And Burn,Yes,original issues,1,0,0,1,,
Crimesmith,Yes,original issues,1,0,0,1,,
Cry of The Huntress,Yes,original issues,6,0,0,6,,
Cult,Yes,original issues,4,0,0,4,,
Dark Knight Returns,Yes,original issues,13,0,0,13,,
"Dark Knight, Dark City",Yes,original issues,1,0,0,1,,
Dead Letter Office,Yes,original issues,1,0,0,1,,
Death-Kiss!,Yes,original issues,1,0,0,1,,
Destroyer,Yes,original issues,1,0,0,1,,
Doomsday Clock,Yes,original issues,12,0,0,12,,
Facsimile,Yes,facsimiles,0,6,0,6,,
Faith,Yes,original issues,2,0,0,2,,
Fatal Wish,Yes,original issues,1,0,0,1,,
Favorite Things,Yes,original issues,1,0,0,1,,
Flyer,Yes,original issues,3,0,0,3,,
Frozen Assets,Yes,original issues,1,0,0,1,,
Going Sane,Yes,original issues,3,0,0,3,,
Gordon's Law,Yes,original issues,4,0,0,4,,
local Nights I,Yes,original issues,4,0,0,4,,
local Nights II,Yes,original issues,4,0,0,4,,
Gothic,Yes,original issues,5,0,0,5,,
Gothtopia,Yes,original issues,1,0,0,1,,
Jazz,Yes,original issues,3,0,0,3,,
Joker's Wild,Yes,original issues,4,0,0,4,,
Killer Croc,Yes,original issues,2,0,0,2,,
Knightfall,Yes,original issues,37,0,0,37,,
Knightquest,Yes,original issues,37,0,0,37,,
Knightsend,Yes,original issues,33,0,0,33,,
Legacy,Yes,original issues,6,0,0,6,,
Legend of the Dark Mite,Yes,original issues,1,0,0,1,,
Lifelines,Yes,original issues,4,0,0,4,,
Long Halloween,Yes,original issues,11,0,0,11,,
Long Halloween Family,Yes,original issues,17,0,0,17,,
Man-Bat (70s),Yes,original issues,2,0,0,2,,
Mercy,Yes,original issues,1,0,0,1,,
Nun Better,Yes,original issues,1,0,0,1,,
Pagan,Yes,original issues,1,0,0,1,,
Prey,Yes,original issues,5,0,0,5,,
Robin Reborn,Yes,original issues,12,0,0,12,,
Scarecrow,Yes,original issues,1,0,0,1,,
Shaman,Yes,original issues,5,0,0,5,,
Sleeper,Yes,original issues,2,0,0,2,,
Spawn/Batman,Yes,original-format publication,0,0,0,0,Spawn/Batman,Original-format publication; no contained issue checklist recorded.
Storm,Yes,original issues,1,0,0,1,,
Sword of Azrael,Yes,original issues,4,0,0,4,,
Terminus,Yes,original issues,1,0,0,1,,
The Many Deaths Of...,Yes,original issues,3,0,0,3,,
The Mud Pack,Yes,original issues,4,0,0,4,,
The Penguin Affair,Yes,original issues,2,0,0,2,,
The Set-Up Caper,Yes,original issues,1,0,0,1,,
To The Father I Never Knew...,Yes,original issues,1,0,0,1,,
Turning Points,Yes,original issues,5,0,0,5,,
Two-Face,Yes,original issues,2,0,0,2,,
Untold Legend,Yes,original issues,3,0,0,3,,
Venom,Yes,original issues,5,0,0,5,,
Watchtower,Yes,original issues,1,0,0,1,,
When In Rome,Yes,original issues,6,0,0,6,,
Year One,Yes,original issues; facsimiles,5,4,0,9,,
Year Three,Yes,original issues,4,0,0,4,,
Year Two,Yes,original issues,1,0,0,1,,
Zero Hour,Yes,original issues,13,0,0,13,,
Zeus,Yes,original issues,2,0,0,2,,
